"Domain","SDOH_Topic","Variable_Name"
"2. Economic Context","Income","OPP_TOP20_ASN_M_HH_1PT"
"2. Economic Context","Income","OPP_TOP20_ASN_M_HH_25PT"
"2. Economic Context","Income","OPP_TOP20_ASN_M_HH_50PT"
"2. Economic Context","Income","OPP_TOP20_ASN_M_HH_75PT"
"2. Economic Context","Income","OPP_TOP20_BLK_F_HH_100PT"
"2. Economic Context","Income","OPP_TOP20_BLK_F_HH_1PT"
"2. Economic Context","Income","OPP_TOP20_BLK_F_HH_25PT"
"2. Economic Context","Income","OPP_TOP20_BLK_F_HH_50PT"
"2. Economic Context","Income","OPP_TOP20_BLK_F_HH_75PT"
"2. Economic Context","Income","OPP_TOP20_BLK_M_HH_100PT"
"2. Economic Context","Income","OPP_TOP20_BLK_M_HH_1PT"
"2. Economic Context","Income","OPP_TOP20_BLK_M_HH_25PT"
"2. Economic Context","Income","OPP_TOP20_BLK_M_HH_50PT"
"2. Economic Context","Income","OPP_TOP20_BLK_M_HH_75PT"
"2. Economic Context","Income","OPP_TOP20_HSP_F_HH_100PT"
"2. Economic Context","Income","OPP_TOP20_HSP_F_HH_1PT"
"2. Economic Context","Income","OPP_TOP20_HSP_F_HH_25PT"
"2. Economic Context","Income","OPP_TOP20_HSP_F_HH_50PT"
"2. Economic Context","Income","OPP_TOP20_HSP_F_HH_75PT"
"2. Economic Context","Income","OPP_TOP20_HSP_M_HH_100PT"
"2. Economic Context","Income","OPP_TOP20_HSP_M_HH_1PT"
"2. Economic Context","Income","OPP_TOP20_HSP_M_HH_25PT"
"2. Economic Context","Income","OPP_TOP20_HSP_M_HH_50PT"
"2. Economic Context","Income","OPP_TOP20_HSP_M_HH_75PT"
"2. Economic Context","Income","OPP_TOP20_NAM_F_HH_100PT"
"2. Economic Context","Income","OPP_TOP20_NAM_F_HH_1PT"
"2. Economic Context","Income","OPP_TOP20_NAM_F_HH_25PT"
"2. Economic Context","Income","OPP_TOP20_NAM_F_HH_50PT"
"2. Economic Context","Income","OPP_TOP20_NAM_F_HH_75PT"
"2. Economic Context","Income","OPP_TOP20_NAM_M_HH_100PT"
"2. Economic Context","Income","OPP_TOP20_NAM_M_HH_1PT"
"2. Economic Context","Income","OPP_TOP20_NAM_M_HH_25PT"
"2. Economic Context","Income","OPP_TOP20_NAM_M_HH_50PT"
"2. Economic Context","Income","OPP_TOP20_NAM_M_HH_75PT"
"2. Economic Context","Income","OPP_TOP20_OTHER_F_HH_100PT"
"2. Economic Context","Income","OPP_TOP20_OTHER_F_HH_1PT"
"2. Economic Context","Income","OPP_TOP20_OTHER_F_HH_25PT"
"2. Economic Context","Income","OPP_TOP20_OTHER_F_HH_50PT"
"2. Economic Context","Income","OPP_TOP20_OTHER_F_HH_75PT"
"2. Economic Context","Income","OPP_TOP20_OTHER_M_HH_100PT"
"2. Economic Context","Income","OPP_TOP20_OTHER_M_HH_1PT"
"2. Economic Context","Income","OPP_TOP20_OTHER_M_HH_25PT"
"2. Economic Context","Income","OPP_TOP20_OTHER_M_HH_50PT"
"2. Economic Context","Income","OPP_TOP20_OTHER_M_HH_75PT"
"2. Economic Context","Income","OPP_TOP20_WHT_F_HH_100PT"
"2. Economic Context","Income","OPP_TOP20_WHT_F_HH_1PT"
"2. Economic Context","Income","OPP_TOP20_WHT_F_HH_25PT"
"2. Economic Context","Income","OPP_TOP20_WHT_F_HH_50PT"
"2. Economic Context","Income","OPP_TOP20_WHT_F_HH_75PT"
"2. Economic Context","Income","OPP_TOP20_WHT_M_HH_100PT"
"2. Economic Context","Income","OPP_TOP20_WHT_M_HH_1PT"
"2. Economic Context","Income","OPP_TOP20_WHT_M_HH_25PT"
"2. Economic Context","Income","OPP_TOP20_WHT_M_HH_50PT"
"2. Economic Context","Income","OPP_TOP20_WHT_M_HH_75PT"
"2. Economic Context","Income","OPP_TOP20_ASN_F_N"
"2. Economic Context","Income","OPP_TOP20_ASN_M_N"
"2. Economic Context","Income","OPP_TOP20_BLK_F_N"
"2. Economic Context","Income","OPP_TOP20_BLK_M_N"
"2. Economic Context","Income","OPP_TOP20_HSP_F_N"
"2. Economic Context","Income","OPP_TOP20_HSP_M_N"
"2. Economic Context","Income","OPP_TOP20_NAM_F_N"
"2. Economic Context","Income","OPP_TOP20_NAM_M_N"
"2. Economic Context","Income","OPP_TOP20_OTHER_F_N"
"2. Economic Context","Income","OPP_TOP20_OTHER_M_N"
"2. Economic Context","Income","OPP_TOP20_WHT_F_N"
"2. Economic Context","Income","OPP_TOP20_WHT_M_N"
"4. Physical infrastructure","Internet connectivity","ACS_PCT_HH_NO_COMP_DEV"
"4. Physical infrastructure","Internet connectivity","ACS_PCT_HH_SMARTPHONE"
"4. Physical infrastructure","Internet connectivity","ACS_PCT_HH_SMARTPHONE_ONLY"
"4. Physical infrastructure","Internet connectivity","ACS_PCT_HH_TABLET"
"4. Physical infrastructure","Internet connectivity","ACS_PCT_HH_TABLET_ONLY"
"4. Physical infrastructure","Internet connectivity","ACS_PCT_HH_PC"
"4. Physical infrastructure","Internet connectivity","ACS_PCT_HH_PC_ONLY"
"4. Physical infrastructure","Internet connectivity","ACS_PCT_HH_OTHER_COMP"
"4. Physical infrastructure","Internet connectivity","ACS_PCT_HH_OTHER_COMP_ONLY"
"4. Physical infrastructure","Internet connectivity","ACS_PCT_HH_INTERNET"
"4. Physical infrastructure","Internet connectivity","ACS_PCT_HH_INTERNET_NO_SUBS"
"4. Physical infrastructure","Internet connectivity","ACS_PCT_HH_BROADBAND"
"4. Physical infrastructure","Internet connectivity","ACS_PCT_HH_BROADBAND_ONLY"
"4. Physical infrastructure","Internet connectivity","ACS_PCT_HH_BROADBAND_ANY"
"4. Physical infrastructure","Internet connectivity","ACS_PCT_HH_CELLULAR"
"4. Physical infrastructure","Internet connectivity","ACS_PCT_HH_CELLULAR_ONLY"
"4. Physical infrastructure","Internet connectivity","ACS_PCT_HH_NO_INTERNET"
"4. Physical infrastructure","Internet connectivity","ACS_PCT_HH_SAT_INTERNET"
"4. Physical infrastructure","Internet connectivity","ACS_PCT_HH_DIAL_INTERNET_ONLY"
"5. Healthcare context","Health Behaviors","CDCP_CHOLES_SCR_ADULT_C"
"5. Healthcare context","Health Behaviors","CDCP_BLOOD_MED_ADULT_C"
"5. Healthcare context","Health Outcomes","CDCP_CHOLES_ADULT_C"
"1. Social context","Immigration","ACS_PCT_CTZ_ABOVE18"
"5. Healthcare context","Health Behaviors","CDCP_CERVCAN_SCR_F21_65_C"
"5. Healthcare context","Health Behaviors","CDCP_FOBT_SIG_COL_50_75_C"
"5. Healthcare context","Health Behaviors","CDCP_MAMMO_SCR_F50_74_C"
"5. Healthcare context","Health Behaviors","CDCP_NO_PHY_ACTV_ADULT_C"
"5. Healthcare context","Health Behaviors","CDCP_DENTIST_VISIT_ADULT_C"
"5. Healthcare context","Health Behaviors","CDCP_DOCTOR_VISIT_ADULT_C"
"5. Healthcare context","Health Behaviors","CDCP_PREV_SERV_M65_ABOVE_C"
"5. Healthcare context","Health Behaviors","CDCP_PREV_SERV_F65_ABOVE_C"
"5. Healthcare context","Health Behaviors","CDCP_SLEEP_LESS7HR_ADULT_C"
"5. Healthcare context","Health Outcomes","CDCP_ARTHRITIS_ADULT_C"
"5. Healthcare context","Health Outcomes","CDCP_ASTHMA_ADULT_C"
"5. Healthcare context","Health Outcomes","CDCP_KIDNEY_DISEASE_ADULT_C"
"5. Healthcare context","Health Outcomes","CDCP_NO_TEETH_65_ABOVE_C"
"5. Healthcare context","Health Outcomes","CDCP_PULMONARY_ADULT_C"
"1. Social context","Demographics","ACS_PCT_POP_SAME_SEX_UNMRD_P"
"1. Social context","Demographics","ACS_PCT_POP_SAME_SEX_SPOUSE"
"1. Social Context","Socioeconomic Disadvantage Indices","CRE_RATE_RISK0"
"1. Social Context","Socioeconomic Disadvantage Indices","CRE_RATE_RISK12"
"1. Social Context","Socioeconomic Disadvantage Indices","CRE_RATE_RISK3"
"1. Social Context","Socioeconomic Disadvantage Indices","CRE_TOT_POP_DENOM"
"1. Social Context","Socioeconomic Disadvantage Indices","CRE_TOT_RISK0"
"1. Social Context","Socioeconomic Disadvantage Indices","CRE_TOT_RISK12"
"1. Social Context","Socioeconomic Disadvantage Indices","CRE_TOT_RISK3"
"4. Physical infrastructure","Transportation","EPAN_AVG_NATL_WALK_INDEX"
